cliente_id,churn,genero,customer.SeniorCitizen,customer.Partner,customer.Dependents,meses_tenencia,telefono_servicio,telefono_lineas_multiples,internet_servicio,internet_seguridad,internet_respaldo,internet_proteccion,internet_soporte,internet_tv,internet_peliculas,contrato,facturacion_electronica,metodo_pago,cargo_mensual,cargo_total,internet_activo,telefono_activo,cuentas_diarias,servicios_contratados,gasto_estimado
0002-orfbo,0,female,0,yes,yes,9,1,0,dsl,0,1,0,1,1,0,one year,1,mailed check,65.6,593.3,1,1,2.1866666666666665,5,590.4
0003-mknfe,0,male,0,no,no,9,1,1,dsl,0,0,0,0,0,1,month-to-month,0,mailed check,59.9,542.4,1,1,1.9966666666666666,4,539.1
0004-tlhlj,1,male,0,no,no,4,1,0,fiber optic,0,0,1,0,0,0,month-to-month,1,electronic check,73.9,280.85,1,1,2.4633333333333334,3,295.6
0011-igkff,1,male,1,yes,no,13,1,0,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,98.0,1237.85,1,1,3.2666666666666666,6,1274.0
0013-exchz,1,female,1,yes,no,3,1,0,fiber optic,0,0,0,1,1,0,month-to-month,1,mailed check,83.9,267.4,1,1,2.796666666666667,4,251.70000000000002
0013-mhzwf,0,female,0,no,yes,9,1,0,dsl,0,0,0,1,1,1,month-to-month,1,credit card (automatic),69.4,571.45,1,1,2.3133333333333335,5,624.6
0013-smeoe,0,female,1,yes,no,71,1,0,fiber optic,1,1,1,1,1,1,two year,1,bank transfer (automatic),109.7,7904.25,1,1,3.6566666666666667,8,7788.7
0014-bmaqu,0,male,0,yes,no,63,1,1,fiber optic,1,0,0,1,0,0,two year,1,credit card (automatic),84.65,5377.8,1,1,2.8216666666666668,5,5332.950000000001
0015-uocoj,0,female,1,no,no,7,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,48.2,340.35,1,1,1.6066666666666667,3,337.40000000000003
0016-qljis,0,female,0,yes,yes,65,1,1,dsl,1,1,1,1,1,1,two year,1,mailed check,90.45,5957.9,1,1,3.015,9,5879.25
0017-dinoc,0,male,0,no,no,54,0,0,dsl,1,0,0,1,1,0,two year,0,credit card (automatic),45.2,2460.55,1,0,1.5066666666666668,4,2440.8
0017-iudmw,0,female,0,yes,yes,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,credit card (automatic),116.8,8456.75,1,1,3.893333333333333,9,8409.6
0018-nyrou,0,female,0,yes,no,5,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,68.95,351.5,1,1,2.2983333333333333,2,344.75
0019-efaep,0,female,0,no,no,72,1,1,fiber optic,1,1,1,0,1,0,two year,1,bank transfer (automatic),101.3,7261.25,1,1,3.3766666666666665,7,7293.599999999999
0019-gfntw,0,female,0,no,no,56,0,0,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),45.05,2560.1,1,0,1.5016666666666665,5,2522.7999999999997
0020-inwck,0,female,0,yes,yes,71,1,1,fiber optic,0,1,1,0,0,1,two year,1,credit card (automatic),95.75,6849.4,1,1,3.191666666666667,6,6798.25
